stt,word,pronunciation,meaning,word_type,example,topic,source_url
in addition to / ,Ngoài ra (N/Ving),prep,"In addition to English, he learns Japanese. (Ngoài tiếng Anh, anh ấy học tiếng Nhật)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
moreover / furthermore / ,Hơn nữa,adv,"The room is big; moreover, it's cheap. (Phòng lớn, hơn nữa còn rẻ)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
beside / ,Bên cạnh,prep,She sat beside her friend. (Cô ấy ngồi cạnh bạn mình),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
regarding / in regards to / about / ,Về (N/Ving),prep,"Regarding your question, I will explain more. (Về câu hỏi của bạn, tôi sẽ giải thích thêm)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
so + adj + that / such + noun + that / ,Quá đến nỗi mà,conj,He was so tired that he fell asleep instantly. (Anh ấy mệt đến nỗi ngủ ngay lập tức),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
before / prior to / ,Trước khi,prep/conj,"Prior to eating, wash your hands. (Trước khi ăn, hãy rửa tay)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
after / ,Sau khi,prep/conj,"After the meeting, we had lunch. (Sau buổi họp, chúng tôi ăn trưa)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
once / ,Một khi,conj,"Once you try it, you'll love it. (Một khi bạn thử, bạn sẽ thích)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
by the time / ,Tại thời điểm,conj,"By the time we arrived, the show had started. (Khi chúng tôi đến thì buổi diễn đã bắt đầu)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
until / till / ,Cho đến khi,conj,Wait here until I return. (Đợi ở đây cho đến khi tôi quay lại),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
when / ,Khi,conj,"When I arrived, the class had begun. (Khi tôi đến thì lớp đã bắt đầu)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
not a but b / ,Không phải A mà là B,conj,She bought not a car but a motorbike. (Cô ấy không mua ô tô mà mua xe máy),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
instead of / ,Thay vì (N/Ving),prep,"Instead of coffee, I drank tea. (Thay vì cà phê, tôi uống trà)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
as well as / ,Cũng như,prep/conj,She sings as well as dances. (Cô ấy hát cũng như nhảy),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
even / ,Thậm chí,adv,He didn't even say goodbye. (Anh ấy thậm chí không nói lời tạm biệt),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
if / ,Nếu,conj,"If it rains, we will stay home. (Nếu trời mưa chúng ta sẽ ở nhà)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
only if / as long as / so long as / ,Miễn là,conj,You can go out as long as you finish your work. (Bạn có thể ra ngoài miễn là bạn hoàn thành công việc),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
even if / ,Ngay cả khi,conj,"Even if it rains, we will go. (Ngay cả khi trời mưa, chúng tôi vẫn đi)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
unless / if not / ,Trừ khi,nếu không,conj,,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
otherwise / ,Nếu không thì,adv,"Study hard; otherwise, you will fail. (Học chăm, nếu không bạn sẽ trượt)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
following / ,Theo như / sau đó (N/Ving),prep,"Following the event, we went home. (Sau sự kiện, chúng tôi về nhà)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
whether / ,Liệu rằng,conj,I don't know whether he will come. (Tôi không biết liệu anh ấy có đến không),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
in (that) case / ,Trong trường hợp,conj,"In that case, we should leave early. (Trong trường hợp đó, chúng ta nên đi sớm)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
in case of / ,Trong trường hợp (N/Ving),prep,"In case of emergency, call 911. (Trong trường hợp khẩn cấp hãy gọi 911)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
to the contrary / on the contrary / ,Trái ngược với,adv,"On the contrary, he liked the idea. (Ngược lại, anh ấy thích ý tưởng đó)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
on the other hand / ,Mặt khác,conj,"On the other hand, we could try a new plan. (Mặt khác, chúng ta có thể thử kế hoạch mới)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
the fact that / ,Thực tế là,conj,The fact that he apologized impressed me. (Thực tế là anh ấy xin lỗi khiến tôi ấn tượng),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
given / ,Khi xem xét điều gì (N/Ving),prep,"Given his experience, he will succeed. (Xét kinh nghiệm của anh ấy, anh ấy sẽ thành công)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
given that / ,Căn cứ vào,conj,"Given that it's late, we should stop working. (Căn cứ vào việc trời đã khuya, chúng ta nên nghỉ)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
or else / ,Nếu không thì,conj,Hurry up or else you'll miss the train. (Nhanh lên nếu không bạn sẽ lỡ tàu),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
or so / ,Hơn một chút,adv,It costs $20 or so. (Nó tốn khoảng 20 đô),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
except / except for / aside from / apart from / ,Ngoại trừ,prep/conj,"Except for John, everyone arrived on time. (Ngoại trừ John, mọi người đến đúng giờ)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
among / of all / of the / ,Trong số (N số nhiều),prep,"Among the options, this one is best. (Trong số các lựa chọn, cái này tốt nhất)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
according to (the) / ,Theo như (N/Ving),prep,"According to the report, sales increased. (Theo báo cáo, doanh số đã tăng)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
as good as / ,Hầu như,gần như,prep,,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
as if / as though / ,Như thể là,conj,He talks as if he knew everything. (Anh ta nói như thể biết mọi thứ),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
within / ,Trong vòng (thời gian),prep,You must finish within 2 hours. (Bạn phải hoàn thành trong vòng 2 giờ),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
without + n/ving / ,Không có cái gì,prep,"Without your help, I couldn't finish. (Không có bạn giúp, tôi không thể hoàn thành)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
assuming that / ,Giả sử là,conj,"Assuming that he agrees, we can start. (Giả sử anh ấy đồng ý, chúng ta có thể bắt đầu)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
rather than / ,Thích làm gì hơn,prep,I prefer working rather than resting. (Tôi thích làm việc hơn là nghỉ),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
up to / ,Lên đến (N/Ving),prep,Up to 50 people joined the event. (Có tới 50 người tham gia sự kiện),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
as of / ,Vào lúc (thời gian),prep,"As of today, the rule changes. (Tính từ hôm nay, quy định thay đổi)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
between a and b / ,Giữa A và B,prep,The meeting is between Monday and Wednesday. (Cuộc họp diễn ra giữa thứ Hai và thứ Tư),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
together with / along with b / ,A cùng với B,prep,"The CEO, together with his team, arrived early. (Giám đốc cùng với đội của mình đến sớm)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
first… and then / ,Đầu tiên… sau đó,conj,First finish your homework and then play. (Đầu tiên làm bài tập rồi hãy chơi),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
in favour of / ,Để ủng hộ (N/Ving),prep,They voted in favour of the plan. (Họ bỏ phiếu ủng hộ kế hoạch),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
ahead of / ,Trước (N/cụm N),prep,He arrived ahead of schedule. (Anh ấy đến sớm hơn dự kiến),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
budget cuts / /ˈbʌdʒɪt kʌts/,Cắt giảm ngân sách,phrase,The company announced budget cuts due to financial difficulties.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
shoestring budget / /ˈʃuːˌstrɪŋ ˈbʌdʒɪt/,Ngân sách eo hẹp,phrase,They managed to launch the startup on a shoestring budget.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
escalating costs / /ˈɛskəˌleɪtɪŋ ˈkɒsts/,Chi phí leo thang,phrase,Escalating costs of raw materials are impacting our profit margins.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
lower costs / /ˈloʊər kɒsts/,Giảm chi phí,phrase,We are looking for ways to lower costs without compromising quality.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
exorbitant price / /ɪɡˈzɔːrbɪtənt praɪs/,Giá cả đắt đỏ,phrase,The exorbitant price of the antique vase made it unaffordable.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
broaden knowledge / /ˈbrɔːdən ˈnɒlɪdʒ/,Mở rộng kiến thức,phrase,Reading widely helps to broaden your knowledge.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
acquire knowledge / /əˈkwaɪər ˈnɒlɪdʒ/,Tiếp thu kiến thức,phrase,She is eager to acquire knowledge in the field of artificial intelligence.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
hands-on experience / /ˈhændz ɒn ɪkˈspɪəriəns/,Kinh nghiệm thực tiễn,phrase,Internships provide valuable hands-on experience.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
a lack of experience / /ə læk əv ɪkˈspɪəriəns/,Thiếu kinh nghiệm,phrase,His resume showed a lack of experience in management.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
a wealth of experience / /ə wɛlθ əv ɪkˈspɪəriəns/,Nhiều kinh nghiệm,phrase,The new manager has a wealth of experience in the industry.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
a tough decision / /ə tʌf dɪˈsɪʒən/,Quyết định khó khăn,phrase,It was a tough decision whether to accept the job offer or not.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
a hasty decision / /ə ˈheɪsti dɪˈsɪʒən/,"Quyết định vội vã, hấp tấp",phrase,Making a hasty decision can lead to regrets.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
go into partnership / /ɡoʊ ˈɪntuː ˈpɑːrtnərʃɪp/,Trở thành đối tác,phrase,They decided to go into partnership to start their own business.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
conduct a survey / /kənˈdʌkt ə ˈsɜːrveɪ/,Tiến hành một cuộc khảo sát,phrase,We will conduct a survey to gather customer feedback.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
prospective employees / /prəˈspɛktɪv ˌɛmˈplɔɪiːz/,Những nhân viên tiềm năng,phrase,The company is interviewing prospective employees next week.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
comply with new regulations / /kəmˈplaɪ wɪð ˈnjuː ˌrɛɡjuˈleɪʃənz/,Tuân thủ những quy định mới,phrase,All businesses must comply with new regulations regarding data privacy.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
improve productivity / /ɪmˈpruːv ˌprɒdʌkˈtɪvəti/,Tăng năng suất công việc,phrase,Investing in new technology can help improve productivity.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
a highly competitive market / /ə ˈhaɪli kəmˈpɛtətɪv ˈmɑːrkɪt/,Thị trường cạnh tranh khắc nghiệt,phrase,Entering a highly competitive market requires a strong business plan.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
alleviate traffic congestion / /əˈliːvieɪt ˈtræfɪk kənˈdʒɛstʃən/,Giảm tình trạng kẹt xe,phrase,New public transport options aim to alleviate traffic congestion.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
generate profits / /ˈdʒɛnəreɪt ˈprɒfɪts/,Tạo ra lợi nhuận,phrase,The new product is expected to generate significant profits.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
state-of-the-art facilities / /steɪt əv ðiː ɑːrt fəˈsɪlətiz/,Những trang thiết bị hiện đại,phrase,The new research center boasts state-of-the-art facilities.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
confidential documents / /ˌkɒnfɪˈdɛnʃəl ˈdɒkjumənts/,Tài liệu bảo mật,phrase,Please keep these confidential documents secure.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
incidental expenses / /ˌɪnsɪˈdɛntəl ɪkˈspɛnsɪz/,Chi phí phát sinh,phrase,We need to account for incidental expenses when budgeting for the event.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
multinational conglomerates / /ˌmʌltiˈnæʃənəl kənˈɡlɒmərɪts/,Những tập đoàn đa quốc gia,phrase,Multinational conglomerates have a significant impact on the global economy.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
abide by the new changes / /əˈbaɪd baɪ ðə ˈnjuː ˈtʃeɪndʒɪz/,Tuân thủ những thay đổi mới,phrase,Employees are expected to abide by the new changes in company policy.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
enhance leadership skills / /ɪnˈhɑːns ˈliːdərʃɪp skɪlz/,Nâng cao kỹ năng lãnh đạo,phrase,The workshop is designed to enhance leadership skills.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
embark on an enterprise / /ɪmˈbɑːrk ɒn ən ˈɛntərpraɪz/,Bắt đầu/vận hành một doanh nghiệp,phrase,She decided to embark on an enterprise after years of planning.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
skyrocketing rents / /ˈskaɪˌrɒkɪtɪŋ ˈrɛnts/,Giá thuê tăng vọt,phrase,Skyrocketing rents in the city are making it difficult for people to afford housing.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
meet criteria / /miːt kraɪˈtɪəriə/,Đáp ứng tiêu chí,phrase,Candidates must meet specific criteria to be considered for the scholarship.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
reduce energy consumption / /rɪˈdjuːs ˈɛnərdʒi kənˈsʌmpʃən/,Giảm tiêu thụ năng lượng,phrase,Implementing energy-efficient measures can reduce energy consumption.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
raise company morale / /ˈreɪz ˈkʌmpəni məˈrɑːl/,Nâng cao tinh thần công ty,phrase,Team-building activities are a good way to raise company morale.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
the economy remains extremely fragile / /ðə ɪˈkɒnəmi rɪˈmeɪnz ɪkˈstriːmli ˈfrædʒaɪl/,Nền kinh tế còn nhiều yếu kém,phrase,"Despite some improvements, the economy remains extremely fragile.",,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
have some scheduling conflicts / /hæv sʌm ˈskɛdʒuːlɪŋ ˈkɒnflɪkts/,Bị trùng lịch,phrase,I have some scheduling conflicts and cannot attend the meeting on Tuesday.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
produce accessories / /prəˈdjuːs əkˈsɛsəriz/,Sản xuất các phụ kiện,phrase,The factory specializes in producing accessories for electronics.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
postpone interviews / /pəʊstˈpoʊn ˈɪntərvjuːz/,Hoãn phỏng vấn,phrase,We have to postpone interviews due to unforeseen circumstances.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
lay off staff / /ˈleɪ ɒf stɑːf/,Sa thải nhân viên,phrase,The company had to lay off staff as a result of the economic downturn.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
reduce overhead costs / /rɪˈdjuːs ˈoʊvərˌhɛd ˈkɒsts/,Giảm chi phí chung,phrase,Streamlining operations can help reduce overhead costs.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
performance appraisal / /pərˈfɔːrməns əˈpreɪzəl/,Đánh giá hiệu suất làm việc,phrase,The annual performance appraisal helps employees identify areas for improvement.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
build a beneficial partnership / /bɪld ə ˌbɛnɪˈfɪʃəl ˈpɑːrtnərʃɪp/,Xây dựng quan hệ đối tác có lợi,phrase,We aim to build a beneficial partnership with our suppliers.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
apparel outlet / /əˈpærəl ˈaʊtlɛt/,Cửa hàng quần áo,phrase,She found a great deal at the new apparel outlet.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
curtail training programs / /kərˈteɪl ˈtreɪnɪŋ ˈproʊɡræmz/,Cắt giảm chương trình đào tạo,phrase,"Due to budget constraints, the company had to curtail training programs.",,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
a period of economic stagnation / /ə ˈpɪəriəd əv ˌiːkəˈnɒmɪk stæɡˈneɪʃən/,Thời kỳ kinh tế đình trệ,phrase,The country experienced a prolonged period of economic stagnation.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
exceeding expectations / /ɪkˈsiːdɪŋ ˌɛkspɛkˈteɪʃənz/,Vượt xa mong đợi,phrase,The team's performance was exceeding expectations.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
keep out of the reach of children / /kiːp aʊt əv ðə riːtʃ əv ˈtʃɪldrən/,Để xa tầm tay trẻ em,phrase,Always keep medicines out of the reach of children.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
work around the clock / /wɜːrk əˈraʊnd ðə ˈklɒk/,Làm việc suốt ngày đêm,phrase,The engineers worked around the clock to fix the problem.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
communications infrastructure / /kəˌmjuːnɪˈkeɪʃənz ˈɪnfrəˌstrʌktʃər/,Cơ sở hạ tầng truyền thông,phrase,The government is investing in improving the country's communications infrastructure.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
located in the outskirts / /ˈloʊkeɪtɪd ɪn ði ˈaʊtskɜːrts/,Nằm ở ngoại ô,phrase,The new warehouse is located in the outskirts of the city.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
be temporarily out of stock / /bi ˈtɛmpərərɪli aʊt əv stɒk/,Tạm thời hết hàng,phrase,"This popular item is temporarily out of stock, but we expect more next week.",,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
foster exports / /ˈfɒstər ˈɛkspɔːrts/,Thúc đẩy lượng xuất khẩu,phrase,The government introduced new policies to foster exports.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
an invalidated contract / /ən ˈɪnvælɪdeɪtɪd ˈkɒntrækt/,Hợp đồng vô hiệu,phrase,The discovery of fraud led to an invalidated contract.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
draw up a blueprint / /drɔː ʌp ə ˈbluːprɪnt/,Vẽ một bản thiết kế,phrase,The architect will draw up a blueprint for the new building.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
the renovation of a building / /ðə ˌrɛnəˈveɪʃən əv ə ˈbɪldɪŋ/,Đổi mới/cải tạo tòa nhà,phrase,The renovation of a building can be a costly but rewarding process.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
be understaffed / /bi ˈʌndərstɑːft/,Thiếu nhân viên,phrase,"The hospital is currently understaffed, leading to longer wait times.",,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
customer satisfaction survey / /ˈkʌstəmər ˌsætɪsˈfækʃən ˈsɜːrveɪ/,Khảo sát sự hài lòng của khách hàng,phrase,We regularly conduct a customer satisfaction survey to gauge our performance.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
available upon request / /əˈveɪləbəl əˈpɒn rɪˈkwɛst/,Có sẵn theo yêu cầu,phrase,Detailed specifications are available upon request.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
annual turnover / /ˈænjuəl ˈtɜːrnˌoʊvər/,Doanh thu hằng năm,phrase,The company's annual turnover increased by 15% this year.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
break off negotiations / /breɪk ɒf nɪˌɡoʊʃiˈeɪʃənz/,Ngừng đàm phán,phrase,They decided to break off negotiations after failing to reach an agreement.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
cease trading / /siːs ˈtreɪdɪŋ/,Ngừng giao dịch/buôn bán,phrase,The company announced it would cease trading due to financial difficulties.,,Sửa từXóa từ,TOEIC: Các cụm từ xuất hiện 1 Tỷ lần,https://luyentu.com/words
